market_line,true_line,cover_probability,push_probability,loss_probability
-19,-2,0.11789999999999996,0.00329999999999999,0.8788
-19,-1.5,0.1172042140886687,0.0032959033360499,0.8795726054211598
-19,-1,0.11719999999999998,0.0033,0.8795999999999999
-19,-0.5,0.11813178625977525,0.00326182477989855,0.8786074832898756
-19,0,0.11859999999999998,0.0032,0.8781000000000001
-19,0.5,0.11744364087223023,0.00314429754435587,0.8793349614193372
-19,1,0.1161,0.0031,0.8808
-19,1.5,0.1155061502513038,0.00304848504267793,0.8814776710327755
-19,2,0.112,0.00289999999999999,0.8850999999999998
-19,2.5,0.10275675812255462,0.00259926228493239,0.8945668544495604
-19,3,0.0929,0.00229999999999999,0.9047
-19,3.5,0.0878793172584777,0.00215446581759249,0.9099674111689828
-19,4,0.0865,0.00209999999999999,0.9115
-19,4.5,0.08620097284353455,0.00204537444469762,0.911826000874508
-19,5,0.0856,0.00199999999999999,0.9123999999999998
-19,5.5,0.08365429136738396,0.001976536403617,0.9143535853329838
-19,6,0.07949999999999999,0.00189999999999999,0.9186
-19,6.5,0.07300686168692946,0.00171097994083435,0.925284657793556
-19,7,0.06680000000000001,0.00149999999999999,0.9316999999999998
-19,7.5,0.06344326188489816,0.00136704383304557,0.9351952834927916
-19,8,0.0625,0.0013,0.9362
-19,8.5,0.06243259077347796,0.00125834472698335,0.9362842082352776
-19,9,0.06029999999999999,0.00119999999999999,0.9385
-19,9.5,0.05422637502118997,0.00109957725902102,0.9447803835660988
-19,10,0.04800000000000001,0.001,0.9510999999999996
-19,10.5,0.04554940914176217,9.4334623693255e-4,0.9533942575003268
-19,11,0.0457,9e-4,0.9533999999999998
-19,11.5,0.04623848841176139,8.3953779324874e-4,0.9535550864325923
-19,12,0.04589999999999999,8e-4,0.9533
-19,12.5,0.04397163721119225,8.1100259007247e-4,0.9528103967693026
-19,13,0.041,8e-4,0.9582000000000002
-19,13.5,0.0377999627434696,7.0395184646136e-4,0.9704908264901974
-19,14,0.035,6e-4,0.9644
-19,14.5,0.03321601181492939,5.7319002408208e-4,0.932651297269908
-19,15,0.03319999999999999,5.9999999999999e-4,0.9663
-19,15.5,0.03406098999681285,6.1578805721029e-4,1.09085398443017
-19,16,0.0282,5e-4,0.9713000000000004
-19,16.5,0.01144002819781918,2.0115774707672e-4,0.3950827650094114
-19,17,1.7347234759768069e-18,0,1.1102230246251563e-16
-19,17.5,0.00832889721191041,1.4208095448281e-4,0.364114955532185
-19,18,0.0234,4e-4,0.9761999999999996
-19,18.5,0.02900688295453914,4.9301843499202e-4,1.1984449128618486
-19,19,0.0237,4e-4,0.976
-19,19.5,0.01105607096993299,1.858453055491e-4,0.45468039302042007
-19,20,3.4694469519536138e-18,3.7269449679189215e-20,3.122502256758253e-17
-19,20.5,-0.0021686668342711,-3.63996571884265e-5,-0.08914148494352873
-19,21,2.439454888092385e-19,-6.988021814847978e-21,8.673617379884034e-18
-19,21.5,5.8109636715145e-4,9.753323204604642e-6,0.0238855467536951
-19,22,4.0657581468206416e-20,-4.3410438546782885e-21,1.7347234759768069e-18
-19,22.5,-1.557186343347e-4,-2.6136356299920965e-6,-0.00640070207125162
-19,23,1.6940658945086007e-20,6.088049308390284e-22,1.24683249835833e-18
-19,23.5,4.177817018735939e-5,7.01219315363734e-7,0.00171726153131141
-19,24,-1.1011428314305903e-20,3.4410713482205947e-22,0
-19,24.5,-1.139404641473439e-5,-1.912416314628362e-7,-4.6834405399402e-4
-19,25,-8.470329472543003e-21,7.279189390466645e-23,-2.710505431213761e-20
-19,25.5,3.798015471578122e-6,6.374721048761216e-8,1.5611468466467e-4
-19,26,-8.470329472543002e-22,7.940933880509066e-23,1.0842021724855044e-19
-19,26.5,-3.7980154715781265e-6,-6.374721048761208e-8,-1.5611468466467e-4
-19,27,0,0,0
-18.5,-19,0.49730128310666344,0.01426007404613713,0.4883623382773359
-18.5,-18.5,0.5028890211256858,0.01429346862902655,0.4828231749223744
-18.5,-18,0.4735016220809361,0.01767689891666475,0.5088471058834583
-18.5,-17.5,0.42890599197317,0.02140736146960897,0.5496982997598956
-18.5,-17,0.3888690368031433,0.02248185284841643,0.5886409251509941
-18.5,-16.5,0.3680416291939438,0.01919190529419825,0.6127538905063206
