Season,Week,Team,Spread Value,Offensive Power Rating,Offensive Pass EPA,Offensive Rush EPA,Offensive Run Rate Over Expected (%),Offensive Eckel Rate Over Expected (%),Offensive Points/Eckel ,Offensive Starting Field Position,Offensive Weighted EPA,Offensive Success Rate (%),Defensive Power Rating,Defensive Pass EPA,Defensive Rush EPA,Defensive Run Rate Over Expected (%),Defensive Eckel Rate Over Expected (%),Defensive Points/Eckel ,Defensive Starting Field Position,Defensive Weighted EPA,Defensive Success Rate (%)
2024,3,Houston,-4.70441,23.41802,0.046028893,-0.098520315,-0.016801638,-0.12877937,4,80.07692308,0.406501565,0.377952756,28.12243,0.051261159,-0.104179383,3.314520687,0.057216334,3.875,66.5,-1.092650944,0.305785124
2024,3,Illinois,3.69614,26.51585,0.551500658,0.115004118,0.017984528,0.172516511,4.7,72.5,3.782521956,0.446153846,22.81971,-0.101580852,0.082145116,-4.770771615,-0.203778723,5.666666667,76.44444444,-1.442856161,0.347457627
2024,3,Indiana,6.24638,29.67889,0.838966671,0.411572511,0.07372179,0.383362163,5.333333333,71.92857143,5.804954743,0.616541353,23.43251,-0.159116155,-0.165127333,0.482675464,-0.217867596,5.666666667,76.33333333,-3.05246523,0.27027027
2024,3,Iowa,1.85554,24.71924,0.206582308,0.08894463,-0.024344296,-0.019693748,5.333333333,69.58823529,0.909984494,0.420289855,22.8637,0.061469501,-0.106199957,-2.810277775,-0.174331858,4,78.35714286,-1.588354651,0.346774194
2024,2,Iowa State,6.73758,31.0334,0.388280748,-0.013214823,-0.082173438,0.03321384,5.125,78.75,2.255025113,0.428571429,24.29582,-0.121219576,0.087029718,3.541604777,-0.068502905,3.333333333,74.85714286,-1.098896444,0.395683453
2024,3,Jacksonville Stat,-6.08536,25.86267,0.231255457,0.090365905,0.052052021,-0.032763332,5.125,87,0.993461683,0.367521368,31.94803,0.676575682,0.317483287,1.344852937,0.252146151,5.8,71.30769231,0.637630799,0.561643836
2024,1,James Madison,9.29943,30.19136,0.212255819,0.035782383,0.076605969,0.130454587,3.444444444,72.5,1.774850749,0.415254237,20.89193,-0.006128239,0.007505587,-2.156653336,-0.037025148,2.166666667,81.83333333,-1.929002051,0.302158273
2024,3,Kansas,5.6876,31.20903,0.142265009,0.450249688,0.023693568,0.127324526,6.555555556,73.8,2.786753015,0.559055118,25.52143,-0.032325154,0.015984901,1.144458993,-0.07864125,3.8,73.5,-1.639562834,0.35042735
2024,3,Kansas State,12.03956,32.80234,0.268087134,0.432407254,0.019324768,0.198250371,5.083333333,70.76923077,2.789676537,0.491071429,20.76278,0.438281929,-0.084803112,12.78482886,0.009688559,2,77.85714286,-2.244590459,0.316666667
2024,3,Kennesaw State,-6.23575,23.48331,0.203367367,-0.08711518,0.210983018,0.015901864,3.714285714,71.4,0.672852527,0.274336283,29.71906,0.405709555,0.329989512,-9.332821649,0.233411636,5.363636364,76.6,0.299246337,0.4609375
2024,3,Kent State,-12.88541,20.4188,0.118854427,-0.224959066,0.038820973,-0.046362371,4.25,74.33333333,-0.318780869,0.323076923,33.30421,0.297799118,0.289264303,-15.57144094,0.159076189,5.071428571,67.4,-0.558899487,0.47260274
