market_line,true_line,cover_probability,push_probability,loss_probability
-19.0,4.0,0.0865,0.0020999999999999994,0.9114999999999999
-19.0,4.5,0.08620097284353455,0.002045374444697624,0.911826000874508
-19.0,5.0,0.0856,0.0019999999999999996,0.9123999999999998
-19.0,5.5,0.08365429136738396,0.0019765364036170045,0.9143535853329838
-19.0,6.0,0.07949999999999999,0.0018999999999999996,0.9186
-19.0,6.5,0.07300686168692946,0.0017109799408343547,0.9252846577935561
-19.0,7.0,0.06680000000000001,0.0014999999999999992,0.9316999999999998
-19.0,7.5,0.06344326188489816,0.0013670438330455736,0.9351952834927915
-19.0,8.0,0.0625,0.0013000000000000006,0.9361999999999999
-19.0,8.5,0.062432590773477965,0.001258344726983351,0.9362842082352775
-19.0,9.0,0.06029999999999999,0.0011999999999999995,0.9385000000000001
-19.0,9.5,0.05422637502118997,0.001099577259021022,0.9447803835660988
-19.0,10.0,0.048000000000000015,0.001,0.9510999999999996
-19.0,10.5,0.04554940914176217,0.0009433462369325593,0.9533942575003268
-19.0,11.0,0.0457,0.0009000000000000005,0.9533999999999998
-19.0,11.5,0.04623848841176139,0.0008395377932487422,0.9535550864325925
-19.0,12.0,0.045899999999999996,0.0008000000000000004,0.9533
-19.0,12.5,0.04397163721119225,0.0008110025900724749,0.9528103967693026
-19.0,13.0,0.041,0.0008000000000000001,0.9582000000000002
-19.0,13.5,0.0377999627434696,0.0007039518464613601,0.9704908264901974
-19.0,14.0,0.035,0.0006000000000000002,0.9643999999999999
-19.0,14.5,0.03321601181492939,0.0005731900240820854,0.932651297269908
-19.0,15.0,0.03319999999999999,0.0005999999999999998,0.9662999999999999
-19.0,15.5,0.034060989996812854,0.0006157880572102981,1.0908539844301701
-19.0,16.0,0.028200000000000003,0.0005,0.9713000000000004
-19.0,16.5,0.011440028197819184,0.00020115774707672192,0.3950827650094114
-19.0,17.0,1.734723475976807e-18,0.0,1.1102230246251565e-16
-19.0,17.5,0.008328897211910416,0.00014208095448281423,0.364114955532185
-19.0,18.0,0.023400000000000004,0.0004000000000000001,0.9761999999999997
-19.0,18.5,0.029006882954539147,0.0004930184349920212,1.1984449128618486
-19.0,19.0,0.023700000000000006,0.0004000000000000002,0.9759999999999999
-19.0,19.5,0.011056070969932996,0.00018584530554910148,0.45468039302042007
-19.0,20.0,3.469446951953614e-18,3.7269449679189215e-20,3.122502256758253e-17
-19.0,20.5,-0.0021686668342711097,-3.63996571884265e-05,-0.08914148494352873
-19.0,21.0,2.439454888092385e-19,-6.988021814847978e-21,8.673617379884035e-18
-19.0,21.5,0.0005810963671514535,9.753323204604642e-06,0.023885546753695107
-19.0,22.0,4.0657581468206416e-20,-4.341043854678289e-21,1.734723475976807e-18
-19.0,22.5,-0.0001557186343347032,-2.6136356299920965e-06,-0.0064007020712516256
-19.0,23.0,1.6940658945086007e-20,6.088049308390284e-22,1.2468324983583301e-18
-19.0,23.5,4.177817018735939e-05,7.01219315363734e-07,0.0017172615313114134
-19.0,24.0,-1.1011428314305904e-20,3.441071348220595e-22,0.0
-19.0,24.5,-1.139404641473439e-05,-1.912416314628362e-07,-0.00046834405399402186
-19.0,25.0,-8.470329472543003e-21,7.279189390466644e-23,-2.710505431213761e-20
-19.0,25.5,3.798015471578122e-06,6.374721048761215e-08,0.00015611468466467386
-19.0,26.0,-8.470329472543003e-22,7.940933880509066e-23,1.0842021724855044e-19
-19.0,26.5,-3.7980154715781265e-06,-6.374721048761207e-08,-0.0001561146846646738
-19.0,27.0,0.0,0.0,0.0
-18.5,-19.0,0.49730128310666344,0.014260074046137132,0.4883623382773359
-18.5,-18.5,0.5028890211256858,0.014293468629026553,0.4828231749223744
-18.5,-18.0,0.47350162208093605,0.017676898916664754,0.5088471058834583
-18.5,-17.5,0.42890599197317,0.021407361469608973,0.5496982997598956
-18.5,-17.0,0.3888690368031433,0.02248185284841643,0.5886409251509941
-18.5,-16.5,0.3680416291939438,0.019191905294198255,0.6127538905063206
-18.5,-16.0,0.3606105082579862,0.015007193770281082,0.6243750636764802
-18.5,-15.5,0.3557341654133689,0.01339540087160201,0.630867952830824
-18.5,-15.0,0.3429222348115938,0.01263809699732442,0.6444396680126553
-18.5,-14.5,0.31651885766112314,0.010593362682327363,0.6728885165371642
-18.5,-14.0,0.2898550606648548,0.008611431200126215,0.701533992933139
-18.5,-13.5,0.2765404691970324,0.008296243560204001,0.7151633049618534
