Spread_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,31.5,40.5,0.7361984,0.2638016,0
1,31.5,41,0.74750988,0.25249012,0
1,31.5,41.5,0.75856987,0.24143013,0
1,32,22,0.24269965,0.73558074,0.02171961
1,32,22.5,0.25311118,0.72472395,0.02216488
1,32,23,0.26378256,0.71362084,0.0225966
1,32,23.5,0.27470826,0.70227834,0.0230134
1,32,24,0.28588192,0.69070417,0.02341391
1,32,24.5,0.29729639,0.67890682,0.0237968
1,32,25,0.3089437,0.66689557,0.02416073
1,32,25.5,0.32081509,0.65468048,0.02450442
1,32,26,0.33290103,0.64227234,0.02482663
1,32,26.5,0.34519119,0.62968265,0.02512616
1,32,27,0.35767452,0.61692361,0.02540187
1,32,27.5,0.37033924,0.60400808,0.02565268
1,32,28,0.38317289,0.59094953,0.02587758
1,32,28.5,0.39616234,0.57776201,0.02607565
1,32,29,0.40929385,0.56446012,0.02624604
1,32,29.5,0.42255312,0.55105891,0.02638798
1,32,30,0.43592532,0.53757387,0.02650081
1,32,30.5,0.44939515,0.52402089,0.02658397
1,32,31,0.46294688,0.51041614,0.02663699
1,32,31.5,0.47656443,0.49677605,0.02665952
1,32,32,0.49023141,0.48311728,0.02665131
1,32,32.5,0.50393121,0.46945656,0.02661223
1,32,33,0.517647,0.45581074,0.02654226
1,32,33.5,0.53136188,0.44219662,0.0264415
1,32,34,0.54505888,0.42863097,0.02631015
1,32,34.5,0.55872106,0.4151304,0.02614854
1,32,35,0.57233155,0.40171135,0.0259571
1,32,35.5,0.58587364,0.38838998,0.02573639
1,32,36,0.59933083,0.37518212,0.02548705
1,32,36.5,0.61268692,0.36210324,0.02520984
1,32,37,0.62592601,0.34916836,0.02490563
1,32,37.5,0.63903264,0.33639199,0.02457537
1,32,38,0.65199177,0.32378813,0.0242201
1,32,38.5,0.6647889,0.31137015,0.02384095
1,32,39,0.67741007,0.29915081,0.02343912
1,32,39.5,0.68984195,0.28714216,0.02301589
1,32,40,0.70207185,0.27535556,0.0225726
1,32,40.5,0.71408776,0.2638016,0.02211064
1,32,41,0.72587844,0.25249012,0.02163145
1,32,41.5,0.73743336,0.24143013,0.02113651
1,32,42,0.74874282,0.23062985,0.02062733
1,32.5,22.5,0.25311118,0.74688882,0
1,32.5,23,0.26378256,0.73621744,0
1,32.5,23.5,0.27470826,0.72529174,0
1,32.5,24,0.28588192,0.71411808,0
1,32.5,24.5,0.29729639,0.70270361,0
1,32.5,25,0.3089437,0.6910563,0
1,32.5,25.5,0.32081509,0.67918491,0
1,32.5,26,0.33290103,0.66709897,0
1,32.5,26.5,0.34519119,0.65480881,0
1,32.5,27,0.35767452,0.64232548,0
1,32.5,27.5,0.37033924,0.62966076,0
1,32.5,28,0.38317289,0.61682711,0
1,32.5,28.5,0.39616234,0.60383766,0
1,32.5,29,0.40929385,0.59070615,0
