team_id,btb_team_short,mascot,btb_team,cfbfastr_team,api_team,conference,logo
256,James Madison,Dukes,James Madison Dukes,James Madison Dukes,James Madison Dukes,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
2305,Kansas,Jayhawks,Kansas Jayhawks,Kansas Jayhawks,Kansas Jayhawks,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
2306,Kansas State,Wildcats,Kansas State Wildcats,Kansas State Wildcats,Kansas State Wildcats,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
338,Kennesaw State,Owls,Kennesaw State Owls,Kennesaw State Owls,Kennesaw State Owls,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png
2309,Kent State,Golden Flashes,Kent State Golden Flashes,Kent State Golden Flashes,NA,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
96,Kentucky,Wildcats,Kentucky Wildcats,Kentucky Wildcats,Kentucky Wildcats,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
2335,Liberty,Flames,Liberty Flames,Liberty Flames,Liberty Flames,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
309,Louisiana,Ragin' Cajuns,Louisiana Ragin Cajuns,Louisiana Ragin Cajuns,Louisiana Ragin Cajuns,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
2348,Louisiana Tech,Bulldogs,Louisiana Tech Bulldogs,Louisiana Tech Bulldogs,Louisiana Tech Bulldogs,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
97,Louisville,Cardinals,Louisville Cardinals,Louisville Cardinals,Louisville Cardinals,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
99,LSU,Tigers,LSU Tigers,LSU Tigers,LSU Tigers,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
276,Marshall,Thundering Herd,Marshall Thundering Herd,Marshall Thundering Herd,Marshall Thundering Herd,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
120,Maryland,Terrapins,Maryland Terrapins,Maryland Terrapins,Maryland Terrapins,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
113,UMass,Minutemen,UMass Minutemen,UMass Minutemen,UMass Minutemen,FBS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
235,Memphis,Tigers,Memphis Tigers,Memphis Tigers,NA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
193,Miami (OH),RedHawks,Miami (OH) RedHawks,Miami OH RedHawks,Miami (OH) RedHawks,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
2390,Miami,Hurricanes,Miami Hurricanes,Miami Hurricanes,Miami Hurricanes,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
127,Michigan State,Spartans,Michigan State Spartans,Michigan State Spartans,Michigan State Spartans,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
130,Michigan,Wolverines,Michigan Wolverines,Michigan Wolverines,Michigan Wolverines,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
2393,Middle Tennessee,Blue Raiders,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,NA,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
135,Minnesota,Golden Gophers,Minnesota Golden Gophers,Minnesota Golden Gophers,Minnesota Golden Gophers,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
344,Mississippi State,Bulldogs,Mississippi State Bulldogs,Mississippi State Bulldogs,Mississippi State Bulldogs,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
2623,Missouri State,Bears,Missouri State Bears,Missouri State Bears,Missouri State Bears,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
142,Missouri,Tigers,Missouri Tigers,Missouri Tigers,Missouri Tigers,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
2426,Navy,Midshipmen,Navy Midshipmen,Navy Midshipmen,Navy Midshipmen,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
152,NC State,Wolfpack,NC State Wolfpack,NC State Wolfpack,NC State Wolfpack,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
158,Nebraska,Cornhuskers,Nebraska Cornhuskers,Nebraska Cornhuskers,Nebraska Cornhuskers,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
2440,Nevada,Wolf Pack,Nevada Wolf Pack,Nevada Wolf Pack,Nevada Wolf Pack,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
167,New Mexico,Lobos,New Mexico Lobos,New Mexico Lobos,New Mexico Lobos,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
166,New Mexico State,Aggies,New Mexico State Aggies,New Mexico State Aggies,New Mexico State Aggies,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
153,North Carolina,Tar Heels,North Carolina Tar Heels,North Carolina Tar Heels,North Carolina Tar Heels,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
249,North Texas,Mean Green,North Texas Mean Green,North Texas Mean Green,NA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png
2459,Northern Illinois,Huskies,Northern Illinois Huskies,Northern Illinois Huskies,NA,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
77,Northwestern,Wildcats,Northwestern Wildcats,Northwestern Wildcats,Northwestern Wildcats,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
87,Notre Dame,Fighting Irish,Notre Dame Fighting Irish,Notre Dame Fighting Irish,Notre Dame Fighting Irish,FBS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
