Drive_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,31.5,30.0,0.49643447,0.50356553,0.0
1,31.5,30.5,0.50661353,0.49338647,0.0
1,31.5,31.0,0.51681064,0.48318936,0.0
1,31.5,31.5,0.52701873,0.47298127,0.0
1,31.5,32.0,0.53723064,0.46276936,0.0
1,31.5,32.5,0.54743917,0.45256083,0.0
1,31.5,33.0,0.55763711,0.44236289,0.0
1,31.5,33.5,0.56781724,0.43218276,0.0
1,31.5,34.0,0.57797231,0.42202769,0.0
1,31.5,34.5,0.58809513,0.41190487,0.0
1,31.5,35.0,0.59817854,0.40182146,0.0
1,31.5,35.5,0.60821542,0.39178458,0.0
1,31.5,36.0,0.61819874,0.38180126,0.0
1,31.5,36.5,0.62812155,0.37187845,0.0
1,31.5,37.0,0.637977,0.362023,0.0
1,31.5,37.5,0.64775836,0.35224164,0.0
1,31.5,38.0,0.65745905,0.34254095,0.0
1,31.5,38.5,0.66707263,0.33292737,0.0
1,31.5,39.0,0.67659282,0.32340718,0.0
1,31.5,39.5,0.68601351,0.31398649,0.0
1,31.5,40.0,0.6953288,0.3046712,0.0
1,31.5,40.5,0.70453298,0.29546702,0.0
1,31.5,41.0,0.71362057,0.28637943,0.0
1,31.5,41.5,0.72258628,0.27741372,0.0
1,32.0,22.0,0.32227383,0.65865111,0.01907507
1,32.0,22.5,0.33112435,0.64962035,0.0192553
1,32.0,23.0,0.34009593,0.64047759,0.01942648
1,32.0,23.5,0.34918458,0.63122718,0.01958824
1,32.0,24.0,0.35838607,0.62187374,0.0197402
1,32.0,24.5,0.36769592,0.61242208,0.019882
1,32.0,25.0,0.37710942,0.60287727,0.0200133
1,32.0,25.5,0.38662162,0.5932446,0.02013378
1,32.0,26.0,0.39622733,0.58352956,0.02024312
1,32.0,26.5,0.40592115,0.57373784,0.02034102
1,32.0,27.0,0.41569746,0.56387534,0.02042721
1,32.0,27.5,0.42555045,0.55394813,0.02050143
1,32.0,28.0,0.4354741,0.54396246,0.02056344
1,32.0,28.5,0.44546222,0.53392474,0.02061303
1,32.0,29.0,0.45550845,0.52384154,0.02065002
1,32.0,29.5,0.46560625,0.51371953,0.02067422
1,32.0,30.0,0.47574896,0.50356553,0.02068551
1,32.0,30.5,0.48592978,0.49338647,0.02068375
1,32.0,31.0,0.49614178,0.48318936,0.02066886
1,32.0,31.5,0.50637795,0.47298127,0.02064078
1,32.0,32.0,0.51663117,0.46276936,0.02059947
1,32.0,32.5,0.52689426,0.45256083,0.02054491
1,32.0,33.0,0.53715999,0.44236289,0.02047712
1,32.0,33.5,0.54742107,0.43218276,0.02039616
1,32.0,34.0,0.55767021,0.42202769,0.0203021
1,32.0,34.5,0.5679001,0.41190487,0.02019503
1,32.0,35.0,0.57810344,0.40182146,0.0200751
1,32.0,35.5,0.58827297,0.39178458,0.01994245
1,32.0,36.0,0.59840147,0.38180126,0.01979727
1,32.0,36.5,0.60848176,0.37187845,0.01963978
1,32.0,37.0,0.61850677,0.362023,0.01947022
1,32.0,37.5,0.62846951,0.35224164,0.01928885
1,32.0,38.0,0.63836309,0.34254095,0.01909596
1,32.0,38.5,0.64818076,0.33292737,0.01889187
1,32.0,39.0,0.6579159,0.32340718,0.01867692
1,32.0,39.5,0.66756205,0.31398649,0.01845146
1,32.0,40.0,0.67711293,0.3046712,0.01821587
1,32.0,40.5,0.68656242,0.29546702,0.01797057
1,32.0,41.0,0.69590461,0.28637943,0.01771596
1,32.0,41.5,0.7051338,0.27741372,0.01745248
1,32.0,42.0,0.7142445,0.26857491,0.0171806
1,32.5,22.5,0.33112435,0.66887565,0.0
1,32.5,23.0,0.34009593,0.65990407,0.0
1,32.5,23.5,0.34918458,0.65081542,0.0
1,32.5,24.0,0.35838607,0.64161393,0.0
1,32.5,24.5,0.36769592,0.63230408,0.0
1,32.5,25.0,0.37710942,0.62289058,0.0
1,32.5,25.5,0.38662162,0.61337838,0.0
1,32.5,26.0,0.39622733,0.60377267,0.0
1,32.5,26.5,0.40592115,0.59407885,0.0
1,32.5,27.0,0.41569746,0.58430254,0.0
1,32.5,27.5,0.42555045,0.57444955,0.0
1,32.5,28.0,0.4354741,0.5645259,0.0
1,32.5,28.5,0.44546222,0.55453778,0.0
1,32.5,29.0,0.45550845,0.54449155,0.0
1,32.5,29.5,0.46560625,0.53439375,0.0
1,32.5,30.0,0.47574896,0.52425104,0.0
1,32.5,30.5,0.48592978,0.51407022,0.0
1,32.5,31.0,0.49614178,0.50385822,0.0
1,32.5,31.5,0.50637795,0.49362205,0.0
1,32.5,32.0,0.51663117,0.48336883,0.0
1,32.5,32.5,0.52689426,0.47310574,0.0
1,32.5,33.0,0.53715999,0.46284001,0.0
1,32.5,33.5,0.54742107,0.45257893,0.0
1,32.5,34.0,0.55767021,0.44232979,0.0
1,32.5,34.5,0.5679001,0.4320999,0.0
1,32.5,35.0,0.57810344,0.42189656,0.0
1,32.5,35.5,0.58827297,0.41172703,0.0
1,32.5,36.0,0.59840147,0.40159853,0.0
1,32.5,36.5,0.60848176,0.39151824,0.0
1,32.5,37.0,0.61850677,0.38149323,0.0
1,32.5,37.5,0.62846951,0.37153049,0.0
1,32.5,38.0,0.63836309,0.36163691,0.0
1,32.5,38.5,0.64818076,0.35181924,0.0
1,32.5,39.0,0.6579159,0.3420841,0.0
1,32.5,39.5,0.66756205,0.33243795,0.0
1,32.5,40.0,0.67711293,0.32288707,0.0
1,32.5,40.5,0.68656242,0.31343758,0.0
1,32.5,41.0,0.69590461,0.30409539,0.0
1,32.5,41.5,0.7051338,0.2948662,0.0
1,32.5,42.0,0.7142445,0.2857555,0.0
1,32.5,42.5,0.72323145,0.27676855,0.0
1,33.0,23.0,0.31855346,0.65990407,0.02154247
1,33.0,23.5,0.32742858,0.65081542,0.02175599
1,33.0,24.0,0.33642683,0.64161393,0.02195924
1,33.0,24.5,0.34554417,0.63230408,0.02215175
1,33.0,25.0,0.35477633,0.62289058,0.0223331
1,33.0,25.5,0.36411876,0.61337838,0.02250286
1,33.0,26.0,0.3735667,0.60377267,0.02266063
1,33.0,26.5,0.38311513,0.59407885,0.02280602
1,33.0,27.0,0.3927588,0.58430254,0.02293865
1,33.0,27.5,0.40249226,0.57444955,0.02305819
1,33.0,28.0,0.4123098,0.5645259,0.0231643
1,33.0,28.5,0.42220555,0.55453778,0.02325667
1,33.0,29.0,0.43217342,0.54449155,0.02333502
1,33.0,29.5,0.44220715,0.53439375,0.0233991
1,33.0,30.0,0.45230028,0.52425104,0.02344868
1,33.0,30.5,0.46244623,0.51407022,0.02348355
1,33.0,31.0,0.47263825,0.50385822,0.02350354
1,33.0,31.5,0.48286945,0.49362205,0.0235085
1,33.0,32.0,0.49313284,0.48336883,0.02349833
1,33.0,32.5,0.50342133,0.47310574,0.02347294
1,33.0,33.0,0.51372772,0.46284001,0.02343227
1,33.0,33.5,0.52404475,0.45257893,0.02337632
1,33.0,34.0,0.53436512,0.44232979,0.02330509
1,33.0,34.5,0.54468147,0.4320999,0.02321863
1,33.0,35.0,0.55498642,0.42189656,0.02311702
1,33.0,35.5,0.5652726,0.41172703,0.02300038
1,33.0,36.0,0.57553263,0.40159853,0.02286884
1,33.0,36.5,0.58575919,0.39151824,0.02272258
1,33.0,37.0,0.59594496,0.38149323,0.02256181
1,33.0,37.5,0.60608273,0.37153049,0.02238678
1,33.0,38.0,0.61616533,0.36163691,0.02219776
1,33.0,38.5,0.62618572,0.35181924,0.02199504
1,33.0,39.0,0.63613694,0.3420841,0.02177896
1,33.0,39.5,0.64601218,0.33243795,0.02154988
1,33.0,40.0,0.65580475,0.32288707,0.02130818
1,33.0,40.5,0.66550815,0.31343758,0.02105427
1,33.0,41.0,0.67511601,0.30409539,0.02078861
1,33.0,41.5,0.68462217,0.2948662,0.02051163
1,33.0,42.0,0.69402067,0.2857555,0.02022383
1,33.0,42.5,0.70330574,0.27676855,0.01992571
1,33.0,43.0,0.71247185,0.26791036,0.01961779
1,33.5,23.5,0.32742858,0.67257142,0.0
1,33.5,24.0,0.33642683,0.66357317,0.0
1,33.5,24.5,0.34554417,0.65445583,0.0
1,33.5,25.0,0.35477633,0.64522367,0.0
1,33.5,25.5,0.36411876,0.63588124,0.0
1,33.5,26.0,0.3735667,0.6264333,0.0
1,33.5,26.5,0.38311513,0.61688487,0.0
1,33.5,27.0,0.3927588,0.6072412,0.0
1,33.5,27.5,0.40249226,0.59750774,0.0
1,33.5,28.0,0.4123098,0.5876902,0.0
1,33.5,28.5,0.42220555,0.57779445,0.0
1,33.5,29.0,0.43217342,0.56782658,0.0
1,33.5,29.5,0.44220715,0.55779285,0.0
1,33.5,30.0,0.45230028,0.54769972,0.0
1,33.5,30.5,0.46244623,0.53755377,0.0
1,33.5,31.0,0.47263825,0.52736175,0.0
1,33.5,31.5,0.48286945,0.51713055,0.0
1,33.5,32.0,0.49313284,0.50686716,0.0
1,33.5,32.5,0.50342133,0.49657867,0.0
1,33.5,33.0,0.51372772,0.48627228,0.0
1,33.5,33.5,0.52404475,0.47595525,0.0
1,33.5,34.0,0.53436512,0.46563488,0.0
1,33.5,34.5,0.54468147,0.45531853,0.0
1,33.5,35.0,0.55498642,0.44501358,0.0
1,33.5,35.5,0.5652726,0.4347274,0.0
1,33.5,36.0,0.57553263,0.42446737,0.0
1,33.5,36.5,0.58575919,0.41424081,0.0
1,33.5,37.0,0.59594496,0.40405504,0.0
1,33.5,37.5,0.60608273,0.39391727,0.0
1,33.5,38.0,0.61616533,0.38383467,0.0
1,33.5,38.5,0.62618572,0.37381428,0.0
1,33.5,39.0,0.63613694,0.36386306,0.0
1,33.5,39.5,0.64601218,0.35398782,0.0
1,33.5,40.0,0.65580475,0.34419525,0.0
1,33.5,40.5,0.66550815,0.33449185,0.0
1,33.5,41.0,0.67511601,0.32488399,0.0
1,33.5,41.5,0.68462217,0.31537783,0.0
1,33.5,42.0,0.69402067,0.30597933,0.0
1,33.5,42.5,0.70330574,0.29669426,0.0
1,33.5,43.0,0.71247185,0.28752815,0.0
1,33.5,43.5,0.72151369,0.27848631,0.0
1,34.0,24.0,0.31255983,0.66357317,0.023867
1,34.0,24.5,0.32143009,0.65445583,0.02411409
1,34.0,25.0,0.33042661,0.64522367,0.02434972
1,34.0,25.5,0.33954538,0.63588124,0.02457338
1,34.0,26.0,0.34878213,0.6264333,0.02478457
1,34.0,26.5,0.35813233,0.61688487,0.0249828
1,34.0,27.0,0.3675912,0.6072412,0.0251676
1,34.0,27.5,0.37715373,0.59750774,0.02533852
1,34.0,28.0,0.38681466,0.5876902,0.02549514
1,34.0,28.5,0.3965685,0.57779445,0.02563705
1,34.0,29.0,0.40640956,0.56782658,0.02576386
1,34.0,29.5,0.41633192,0.55779285,0.02587522
1,34.0,30.0,0.42632947,0.54769972,0.02597081
1,34.0,30.5,0.43639592,0.53755377,0.02605032
1,34.0,31.0,0.44652477,0.52736175,0.02611348
1,34.0,31.5,0.45670939,0.51713055,0.02616005
1,34.0,32.0,0.466943,0.50686716,0.02618984
1,34.0,32.5,0.47721866,0.49657867,0.02620267
1,34.0,33.0,0.48752932,0.48627228,0.0261984
1,34.0,33.5,0.49786782,0.47595525,0.02617693
1,34.0,34.0,0.50822693,0.46563488,0.02613819
1,34.0,34.5,0.51859931,0.45531853,0.02608216
1,34.0,35.0,0.52897758,0.44501358,0.02600885
1,34.0,35.5,0.53935431,0.4347274,0.02591829
1,34.0,36.0,0.54972206,0.42446737,0.02581057
1,34.0,36.5,0.56007337,0.41424081,0.02568582
1,34.0,37.0,0.57040078,0.40405504,0.02554418
1,34.0,37.5,0.58069687,0.39391727,0.02538586
1,34.0,38.0,0.59095425,0.38383467,0.02521108
1,34.0,38.5,0.6011656,0.37381428,0.02502012
1,34.0,39.0,0.61132367,0.36386306,0.02481327
1,34.0,39.5,0.62142131,0.35398782,0.02459086
1,34.0,40.0,0.63145147,0.34419525,0.02435328
1,34.0,40.5,0.64140722,0.33449185,0.02410092
1,34.0,41.0,0.65128178,0.32488399,0.02383422
1,34.0,41.5,0.66106853,0.31537783,0.02355364
1,34.0,42.0,0.670761,0.30597933,0.02325966
1,34.0,42.5,0.68035292,0.29669426,0.02295282
1,34.0,43.0,0.68983821,0.28752815,0.02263364
1,34.0,43.5,0.69921099,0.27848631,0.0223027
1,34.0,44.0,0.70846561,0.2695738,0.02196059
1,34.5,24.5,0.32143009,0.67856991,0.0
1,34.5,25.0,0.33042661,0.66957339,0.0
1,34.5,25.5,0.33954538,0.66045462,0.0
1,34.5,26.0,0.34878213,0.65121787,0.0
1,34.5,26.5,0.35813233,0.64186767,0.0
1,34.5,27.0,0.3675912,0.6324088,0.0
1,34.5,27.5,0.37715373,0.62284627,0.0
1,34.5,28.0,0.38681466,0.61318534,0.0
1,34.5,28.5,0.3965685,0.6034315,0.0
1,34.5,29.0,0.40640956,0.59359044,0.0
1,34.5,29.5,0.41633192,0.58366808,0.0
1,34.5,30.0,0.42632947,0.57367053,0.0
1,34.5,30.5,0.43639592,0.56360408,0.0
1,34.5,31.0,0.44652477,0.55347523,0.0
1,34.5,31.5,0.45670939,0.54329061,0.0
1,34.5,32.0,0.466943,0.533057,0.0
1,34.5,32.5,0.47721866,0.52278134,0.0
1,34.5,33.0,0.48752932,0.51247068,0.0
1,34.5,33.5,0.49786782,0.50213218,0.0
1,34.5,34.0,0.50822693,0.49177307,0.0
1,34.5,34.5,0.51859931,0.48140069,0.0
1,34.5,35.0,0.52897758,0.47102242,0.0
1,34.5,35.5,0.53935431,0.46064569,0.0
1,34.5,36.0,0.54972206,0.45027794,0.0
1,34.5,36.5,0.56007337,0.43992663,0.0
1,34.5,37.0,0.57040078,0.42959922,0.0
1,34.5,37.5,0.58069687,0.41930313,0.0
1,34.5,38.0,0.59095425,0.40904575,0.0
1,34.5,38.5,0.6011656,0.3988344,0.0
1,34.5,39.0,0.61132367,0.38867633,0.0
1,34.5,39.5,0.62142131,0.37857869,0.0
1,34.5,40.0,0.63145147,0.36854853,0.0
1,34.5,40.5,0.64140722,0.35859278,0.0
1,34.5,41.0,0.65128178,0.34871822,0.0
1,34.5,41.5,0.66106853,0.33893147,0.0
1,34.5,42.0,0.670761,0.329239,0.0
1,34.5,42.5,0.68035292,0.31964708,0.0
1,34.5,43.0,0.68983821,0.31016179,0.0
1,34.5,43.5,0.69921099,0.30078901,0.0
1,34.5,44.0,0.70846561,0.29153439,0.0
1,34.5,44.5,0.71759665,0.28240335,0.0
1,35.0,25.0,0.30879778,0.66957339,0.02162883
1,35.0,25.5,0.31768357,0.66045462,0.02186181
1,35.0,26.0,0.32669777,0.65121787,0.02208436
1,35.0,26.5,0.33583634,0.64186767,0.02229599
1,35.0,27.0,0.34509498,0.6324088,0.02249623
1,35.0,27.5,0.35446912,0.62284627,0.02268461
1,35.0,28.0,0.36395395,0.61318534,0.02286071
1,35.0,28.5,0.37354441,0.6034315,0.02302409
1,35.0,29.0,0.38323521,0.59359044,0.02317435
1,35.0,29.5,0.39302081,0.58366808,0.02331111
1,35.0,30.0,0.40289547,0.57367053,0.02343401
1,35.0,30.5,0.41285321,0.56360408,0.0235427
1,35.0,31.0,0.42288788,0.55347523,0.02363688
1,35.0,31.5,0.43299312,0.54329061,0.02371627
1,35.0,32.0,0.4431624,0.533057,0.0237806
1,35.0,32.5,0.453389,0.52278134,0.02382965
1,35.0,33.0,0.46366609,0.51247068,0.02386322
1,35.0,33.5,0.47398667,0.50213218,0.02388115
1,35.0,34.0,0.48434363,0.49177307,0.0238833
1,35.0,34.5,0.49472974,0.48140069,0.02386957
1,35.0,35.0,0.50513769,0.47102242,0.02383989
1,35.0,35.5,0.51556008,0.46064569,0.02379423
1,35.0,36.0,0.52598947,0.45027794,0.02373259
1,35.0,36.5,0.53641836,0.43992663,0.02365501
1,35.0,37.0,0.54683922,0.42959922,0.02356156
1,35.0,37.5,0.55724453,0.41930313,0.02345233
1,35.0,38.0,0.56762676,0.40904575,0.02332748
1,35.0,38.5,0.57797842,0.3988344,0.02318718
1,35.0,39.0,0.58829204,0.38867633,0.02303163
1,35.0,39.5,0.59856023,0.37857869,0.02286108
1,35.0,40.0,0.60877566,0.36854853,0.02267581
1,35.0,40.5,0.61893111,0.35859278,0.02247611
