week,game,team,logo,last_update_api,model_prediction,market_line,market_price,cover_probability,edge,best_book,best_line,best_price,best_cover_probability,best_edge
7,NC State@Notre Dame,Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2025-10-06T14:07:03Z,-24.5,-22.5,-110,0.521497,-0.0023125238095238476,FanDuel,-21.5,-110,0.53762722,0.013817696190476125
7,Arkansas@Tennessee,Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,2025-10-06T14:07:03Z,-11,-13.5,-106,0.43767361,-0.07688949679611651,DraftKings,-13.5,-105,0.43767361,-0.07452151195121953
7,NA@Florida Atlantic,Florida Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,2025-10-06T14:07:03Z,-3,-4,-110,0.46147985,-0.06232967380952381,FanDuel,-3.5,-110,0.47674971,-0.04705981380952384
7,Northwestern@Penn State,Penn State,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,2025-10-06T14:07:03Z,-23,-21.5,-113,0.51834314,-0.01217329192488259,DraftKings,-21.5,-108,0.51834314,-8.876292307692379e-4
7,Louisiana@James Madison,James Madison,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,2025-10-06T14:07:03Z,-20.5,-17.5,-110,0.54799989,0.02419036619047621,FanDuel,-17.5,-110,0.54799989,0.02419036619047621
7,Charlotte@Army,Army,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,2025-10-06T14:07:03Z,-14.5,-17.5,-110,0.4257704,-0.09803912380952384,DraftKings,-17.5,-108,0.4257704,-0.09346036923076928
7,South Carolina@LSU,LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,2025-10-06T14:07:03Z,-8.5,-9.5,-120,0.46026033,-0.08519421545454542,Fanatics,-9.5,-110,0.46026033,-0.06354919380952384
7,Florida@Texas A&M,Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,2025-10-06T14:07:03Z,-8.5,-7.5,-110,0.49475761,-0.02905191380952382,Fanatics,-7.5,-105,0.49475761,-0.01743751195121951
7,Arizona State@Utah,Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,2025-10-06T14:07:03Z,-4.5,-5.5,-110,0.46934744,-0.05446208380952383,FanDuel,-4.5,-115,0.48664799,-0.048235730930232534
7,NA@Coastal Carolina,Coastal Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,2025-10-06T14:07:03Z,2.5,2.5,-110,0.49244727,-0.03136225380952384,FanDuel,2.5,-105,0.49244727,-0.01974785195121953
7,San Jos̩ State@Wyoming,Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,2025-10-06T14:07:03Z,1.5,2.5,-108,0.51226222,-0.006968549230769283,Fanatics,2.5,-105,0.51226222,6.709804878046732e-5
7,Liberty@UTEP,UTEP,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,2025-10-06T14:07:03Z,4.5,2.5,-115,0.45290021,-0.08198351093023248,FanDuel,2.5,-110,0.45290021,-0.07090931380952381
