Total_Bin,Market_Spread,True_Spread,Cover_probability,NoCover_probability,Push_probability
3,-58.0,-62.5,0.56497326,0.41844417,0.01658257
3,-58.0,-62.0,0.55653736,0.42681912,0.01664352
3,-58.0,-61.5,0.54807503,0.43522792,0.01669705
3,-58.0,-61.0,0.53959008,0.44366683,0.01674309
3,-58.0,-60.5,0.53108634,0.45213209,0.01678157
3,-58.0,-60.0,0.52256768,0.46061989,0.01681243
3,-58.0,-59.5,0.51403796,0.46912641,0.01683563
3,-58.0,-59.0,0.50550108,0.47764778,0.01685114
3,-58.0,-58.5,0.49696096,0.48618011,0.01685893
3,-58.0,-58.0,0.48842149,0.49471951,0.016859
3,-58.0,-57.5,0.4798866,0.50326207,0.01685133
3,-58.0,-57.0,0.47136019,0.51180388,0.01683593
3,-58.0,-56.5,0.46284615,0.52034101,0.01681284
3,-58.0,-56.0,0.45434837,0.52886957,0.01678206
3,-58.0,-55.5,0.4458707,0.53738565,0.01674366
3,-58.0,-55.0,0.43741697,0.54588537,0.01669767
3,-58.0,-54.5,0.42899099,0.55436486,0.01664415
3,-58.0,-54.0,0.42059651,0.5628203,0.01658319
3,-58.0,-53.5,0.41223727,0.57124788,0.01651485
3,-58.0,-53.0,0.40391694,0.57964383,0.01643924
3,-58.0,-52.5,0.39563913,0.58800442,0.01635644
3,-58.0,-52.0,0.38740743,0.59632599,0.01626658
3,-58.0,-51.5,0.37922534,0.60460489,0.01616977
3,-58.0,-51.0,0.3710963,0.61283756,0.01606614
3,-58.0,-50.5,0.36302368,0.62102049,0.01595583
3,-58.0,-50.0,0.35501079,0.62915023,0.01583898
3,-58.0,-49.5,0.34706085,0.63722341,0.01571574
3,-58.0,-49.0,0.339177,0.64523672,0.01558629
3,-58.0,-48.5,0.33136229,0.65318693,0.01545078
3,-58.0,-48.0,0.3236197,0.66107092,0.01530939
3,-57.5,-67.5,0.66266361,0.33733639,0.0
3,-57.5,-67.0,0.65481949,0.34518051,0.0
3,-57.5,-66.5,0.64690757,0.35309243,0.0
3,-57.5,-66.0,0.63893092,0.36106908,0.0
3,-57.5,-65.5,0.63089269,0.36910731,0.0
3,-57.5,-65.0,0.62279609,0.37720391,0.0
3,-57.5,-64.5,0.61464444,0.38535556,0.0
3,-57.5,-64.0,0.60644111,0.39355889,0.0
3,-57.5,-63.5,0.59818954,0.40181046,0.0
3,-57.5,-63.0,0.58989326,0.41010674,0.0
3,-57.5,-62.5,0.58155583,0.41844417,0.0
3,-57.5,-62.0,0.57318088,0.42681912,0.0
3,-57.5,-61.5,0.56477208,0.43522792,0.0
3,-57.5,-61.0,0.55633317,0.44366683,0.0
3,-57.5,-60.5,0.54786791,0.45213209,0.0
3,-57.5,-60.0,0.53938011,0.46061989,0.0
3,-57.5,-59.5,0.53087359,0.46912641,0.0
3,-57.5,-59.0,0.52235222,0.47764778,0.0
3,-57.5,-58.5,0.51381989,0.48618011,0.0
3,-57.5,-58.0,0.50528049,0.49471951,0.0
3,-57.5,-57.5,0.49673793,0.50326207,0.0
3,-57.5,-57.0,0.48819612,0.51180388,0.0
3,-57.5,-56.5,0.47965899,0.52034101,0.0
3,-57.5,-56.0,0.47113043,0.52886957,0.0
3,-57.5,-55.5,0.46261435,0.53738565,0.0
3,-57.5,-55.0,0.45411463,0.54588537,0.0
3,-57.5,-54.5,0.44563514,0.55436486,0.0
3,-57.5,-54.0,0.4371797,0.5628203,0.0
3,-57.5,-53.5,0.42875212,0.57124788,0.0
3,-57.5,-53.0,0.42035617,0.57964383,0.0
3,-57.5,-52.5,0.41199558,0.58800442,0.0
3,-57.5,-52.0,0.40367401,0.59632599,0.0
3,-57.5,-51.5,0.39539511,0.60460489,0.0
3,-57.5,-51.0,0.38716244,0.61283756,0.0
3,-57.5,-50.5,0.37897951,0.62102049,0.0
3,-57.5,-50.0,0.37084977,0.62915023,0.0
3,-57.5,-49.5,0.36277659,0.63722341,0.0
3,-57.5,-49.0,0.35476328,0.64523672,0.0
3,-57.5,-48.5,0.34681307,0.65318693,0.0
3,-57.5,-48.0,0.33892908,0.66107092,0.0
3,-57.5,-47.5,0.33111439,0.66888561,0.0
3,-57.0,-67.0,0.65481949,0.3297321,0.01544841
3,-57.0,-66.5,0.64690757,0.33750918,0.01558324
3,-57.0,-66.0,0.63893092,0.345357,0.01571208
3,-57.0,-65.5,0.63089269,0.35327256,0.01583475
3,-57.0,-65.0,0.62279609,0.36125282,0.01595109
3,-57.0,-64.5,0.61464444,0.36929462,0.01606095
3,-57.0,-64.0,0.60644111,0.37739473,0.01616417
3,-57.0,-63.5,0.59818954,0.38554984,0.01626062
3,-57.0,-63.0,0.58989326,0.39375657,0.01635017
3,-57.0,-62.5,0.58155583,0.40201148,0.01643269
3,-57.0,-62.0,0.57318088,0.41031105,0.01650807
3,-57.0,-61.5,0.56477208,0.41865171,0.01657621
3,-57.0,-61.0,0.55633317,0.42702981,0.01663702
3,-57.0,-60.5,0.54786791,0.43544169,0.0166904
3,-57.0,-60.0,0.53938011,0.44388362,0.01673628
3,-57.0,-59.5,0.53087359,0.45235181,0.0167746
3,-57.0,-59.0,0.52235222,0.46084247,0.0168053
3,-57.0,-58.5,0.51381989,0.46935176,0.01682835
3,-57.0,-58.0,0.50528049,0.47787582,0.0168437
3,-57.0,-57.5,0.49673793,0.48641075,0.01685133
3,-57.0,-57.0,0.48819612,0.49495265,0.01685123
3,-57.0,-56.5,0.47965899,0.50349762,0.01684339
3,-57.0,-56.0,0.47113043,0.51204173,0.01682784
3,-57.0,-55.5,0.46261435,0.52058107,0.01680458
3,-57.0,-55.0,0.45411463,0.52911173,0.01677364
3,-57.0,-54.5,0.44563514,0.53762979,0.01673507
3,-57.0,-54.0,0.4371797,0.54613138,0.01668892
3,-57.0,-53.5,0.42875212,0.55461263,0.01663524
3,-57.0,-53.0,0.42035617,0.56306971,0.01657412
3,-57.0,-52.5,0.41199558,0.5714988,0.01650563
3,-57.0,-52.0,0.40367401,0.57989613,0.01642986
3,-57.0,-51.5,0.39539511,0.58825798,0.01634691
3,-57.0,-51.0,0.38716244,0.59658066,0.0162569
3,-57.0,-50.5,0.37897951,0.60486055,0.01615994
3,-57.0,-50.0,0.37084977,0.61309406,0.01605617
3,-57.0,-49.5,0.36277659,0.62127769,0.01594571
3,-57.0,-49.0,0.35476328,0.62940799,0.01582873
3,-57.0,-48.5,0.34681307,0.63748157,0.01570536
3,-57.0,-48.0,0.33892908,0.64549514,0.01557578
3,-57.0,-47.5,0.33111439,0.65344547,0.01544014
3,-57.0,-47.0,0.32337196,0.6613294,0.01529864
3,-56.5,-66.5,0.66249082,0.33750918,0.0
3,-56.5,-66.0,0.654643,0.345357,0.0
3,-56.5,-65.5,0.64672744,0.35327256,0.0
3,-56.5,-65.0,0.63874718,0.36125282,0.0
3,-56.5,-64.5,0.63070538,0.36929462,0.0
3,-56.5,-64.0,0.62260527,0.37739473,0.0
3,-56.5,-63.5,0.61445016,0.38554984,0.0
3,-56.5,-63.0,0.60624343,0.39375657,0.0
3,-56.5,-62.5,0.59798852,0.40201148,0.0
3,-56.5,-62.0,0.58968895,0.41031105,0.0
3,-56.5,-61.5,0.58134829,0.41865171,0.0
3,-56.5,-61.0,0.57297019,0.42702981,0.0
3,-56.5,-60.5,0.56455831,0.43544169,0.0
3,-56.5,-60.0,0.55611638,0.44388362,0.0
3,-56.5,-59.5,0.54764819,0.45235181,0.0
3,-56.5,-59.0,0.53915753,0.46084247,0.0
3,-56.5,-58.5,0.53064824,0.46935176,0.0
3,-56.5,-58.0,0.52212418,0.47787582,0.0
3,-56.5,-57.5,0.51358925,0.48641075,0.0
3,-56.5,-57.0,0.50504735,0.49495265,0.0
3,-56.5,-56.5,0.49650238,0.50349762,0.0
3,-56.5,-56.0,0.48795827,0.51204173,0.0
3,-56.5,-55.5,0.47941893,0.52058107,0.0
3,-56.5,-55.0,0.47088827,0.52911173,0.0
3,-56.5,-54.5,0.46237021,0.53762979,0.0
3,-56.5,-54.0,0.45386862,0.54613138,0.0
3,-56.5,-53.5,0.44538737,0.55461263,0.0
3,-56.5,-53.0,0.43693029,0.56306971,0.0
3,-56.5,-52.5,0.4285012,0.5714988,0.0
3,-56.5,-52.0,0.42010387,0.57989613,0.0
3,-56.5,-51.5,0.41174202,0.58825798,0.0
